timestep benthamHalfLookaheadBinary_pop benthamHalfLookaheadBinary_mttl benthamHalfLookaheadBinary_strv benthamHalfLookaheadBinary_comd benthamHalfLookaheadBinary_welt benthamHalfLookaheadBinary_maad egoisticHalfLookaheadBinary_pop egoisticHalfLookaheadBinary_mttl egoisticHalfLookaheadBinary_strv egoisticHalfLookaheadBinary_comd egoisticHalfLookaheadBinary_welt egoisticHalfLookaheadBinary_maad rawSugarscape_pop rawSugarscape_mttl rawSugarscape_strv rawSugarscape_comd rawSugarscape_welt rawSugarscape_maad
105 177.62 23.146099999999993 0.09 0.07 35396.57009999999 45.1355 14.93 21.172600000000003 0.0 0.1 4172.285199999999 11.825 11.94 21.4157 0.0 0.06 3659.4763000000007 17.045
106 182.34 22.996000000000002 0.07 0.12 36182.2697 40.304899999999996 14.79 21.19269999999999 0.0 0.08 4119.3279 19.2117 11.82 21.264300000000006 0.01 0.05 3635.8272 14.61
107 186.36 23.0227 0.04 0.14 36811.96619999998 52.625 14.62 21.169600000000006 0.0 0.09 4082.7460999999994 16.9317 11.63 21.345700000000008 0.0 0.03 3566.7290999999996 17.3
108 191.3 22.910199999999996 0.05 0.14 37622.29019999999 43.243599999999994 14.65 20.8062 0.0 0.07 4097.3231 12.5317 11.52 21.037299999999995 0.0 0.08 3523.018099999999 16.465
109 195.96 22.8601 0.09 0.12 38356.0459 44.734899999999996 14.57 20.5839 0.0 0.07 4080.4595 15.235 11.34 20.8854 0.0 0.08 3461.3386 17.8617
110 200.57 22.843799999999987 0.08 0.16 39086.2385 44.32320000000001 14.37 20.528000000000002 0.01 0.12 4023.193399999999 18.44 11.3 20.5476 0.0 0.04 3457.4944999999993 11.06
111 205.23 22.881700000000013 0.08 0.16 39790.00960000001 50.6057 14.28 20.279300000000003 0.02 0.04 3998.6973 15.89 11.2 20.271099999999993 0.0 0.03 3430.6979999999994 14.645
112 209.98 22.86570000000001 0.11 0.21 40578.73430000001 46.5518 14.21 20.238000000000003 0.0 0.06 3949.268 19.0467 11.03 20.357000000000003 0.0 0.04 3364.283499999999 18.73
113 214.95 22.836999999999986 0.07 0.21 41356.7754 50.765299999999996 14.15 20.182399999999994 0.0 0.05 3903.8750999999993 20.005 10.89 20.202999999999996 0.0 0.05 3343.845399999999 13.33
114 219.8 22.80079999999999 0.06 0.26 42117.2363 47.000699999999995 13.99 20.269699999999997 0.0 0.08 3842.2566999999995 17.7033 10.73 20.0735 0.0 0.04 3285.4073999999987 19.58
115 225.08 22.757400000000004 0.11 0.31 42908.7842 50.22 13.93 20.0452 0.0 0.07 3817.5024999999996 16.8833 10.62 19.941399999999998 0.0 0.02 3239.0520999999994 17.07
116 230.49 22.739 0.04 0.27 43684.90840000001 54.1328 13.81 20.056700000000003 0.0 0.12 3778.2999 16.3583 10.54 19.6687 0.0 0.06 3205.407699999999 14.76
